Unnamed: 0,ESPtime,count,time,year,month,day,hour,minute,time_only
,,2,2026-04-22 09:06:00.218209508,2026,4,22,09:00,6,09:06
,,3,2026-04-22 09:06:14.910971900,2026,4,22,09:00,6,09:06
,,4,2026-04-22 09:06:26.474238431,2026,4,22,09:00,6,09:06
,,5,2026-04-22 09:24:14.883753005,2026,4,22,09:00,24,09:24
,,4,2026-04-22 09:25:03.823591949,2026,4,22,09:00,25,09:25
,,5,2026-04-22 09:25:18.596747672,2026,4,22,09:00,25,09:25
,,6,2026-04-22 09:25:30.808648430,2026,4,22,09:00,25,09:25
,,5,2026-04-22 09:27:06.256688835,2026,4,22,09:00,27,09:27
,,4,2026-04-22 09:27:09.348051941,2026,4,22,09:00,27,09:27
,,5,2026-04-22 09:27:13.974821238,2026,4,22,09:00,27,09:27
,,6,2026-04-22 09:29:13.164509819,2026,4,22,09:00,29,09:29
,,7,2026-04-22 09:29:17.975036216,2026,4,22,09:00,29,09:29
,,6,2026-04-22 09:29:58.056542369,2026,4,22,09:00,29,09:29
,,5,2026-04-22 09:30:03.519730652,2026,4,22,09:00,30,09:30
,,6,2026-04-22 09:30:33.268679828,2026,4,22,09:00,30,09:30
,,7,2026-04-22 09:30:38.449060452,2026,4,22,09:00,30,09:30
,,6,2026-04-22 09:33:50.456942195,2026,4,22,09:00,33,09:33
,,7,2026-04-22 09:33:56.080458435,2026,4,22,09:00,33,09:33
,,8,2026-04-22 09:34:00.472641043,2026,4,22,09:00,34,09:34
,,7,2026-04-22 09:38:43.154738578,2026,4,22,09:00,38,09:38
,,6,2026-04-22 09:42:21.387782098,2026,4,22,09:00,42,09:42
,,7,2026-04-22 09:42:30.436412994,2026,4,22,09:00,42,09:42
,,8,2026-04-22 09:42:34.388121444,2026,4,22,09:00,42,09:42
,,7,2026-04-22 09:42:39.591702747,2026,4,22,09:00,42,09:42
,,6,2026-04-22 09:42:47.776664785,2026,4,22,09:00,42,09:42
,,7,2026-04-22 09:43:10.672684308,2026,4,22,09:00,43,09:43
,,8,2026-04-22 09:43:27.142771289,2026,4,22,09:00,43,09:43
,,7,2026-04-22 09:43:32.105946329,2026,4,22,09:00,43,09:43
,,6,2026-04-22 09:51:02.821360538,2026,4,22,09:00,51,09:51
,,5,2026-04-22 09:56:47.372653148,2026,4,22,09:00,56,09:56
,,6,2026-04-22 09:57:31.835295401,2026,4,22,09:00,57,09:57
,,5,2026-04-22 09:57:58.234026638,2026,4,22,09:00,57,09:57
,,6,2026-04-22 09:58:04.107866673,2026,4,22,09:00,58,09:58
,,7,2026-04-22 09:58:08.805333149,2026,4,22,09:00,58,09:58
,,6,2026-04-22 09:58:23.464613894,2026,4,22,09:00,58,09:58
,,7,2026-04-22 09:59:16.764317674,2026,4,22,09:00,59,09:59
,,6,2026-04-22 09:59:31.694765102,2026,4,22,09:00,59,09:59
,,7,2026-04-22 09:59:51.637986514,2026,4,22,09:00,59,09:59
,,8,2026-04-22 10:00:18.153958685,2026,4,22,10:00,0,10:00
,,7,2026-04-22 10:00:27.878047524,2026,4,22,10:00,0,10:00
,,6,2026-04-22 10:02:59.419363067,2026,4,22,10:00,2,10:02
,,5,2026-04-22 10:03:03.419973464,2026,4,22,10:00,3,10:03
,,6,2026-04-22 10:04:10.957751488,2026,4,22,10:00,4,10:04
,,5,2026-04-22 10:04:33.874384742,2026,4,22,10:00,4,10:04
,,6,2026-04-22 10:04:35.779635143,2026,4,22,10:00,4,10:04
,,5,2026-04-22 10:06:56.702263932,2026,4,22,10:00,6,10:06
,,6,2026-04-22 10:08:03.033964753,2026,4,22,10:00,8,10:08
,,5,2026-04-22 10:09:22.184405061,2026,4,22,10:00,9,10:09
,,6,2026-04-22 10:10:06.723372678,2026,4,22,10:00,10,10:10
,,5,2026-04-22 10:15:12.316146893,2026,4,22,10:00,15,10:15
,,6,2026-04-22 10:15:37.629604903,2026,4,22,10:00,15,10:15
,,5,2026-04-22 10:16:04.058335089,2026,4,22,10:00,16,10:16
,,6,2026-04-22 10:16:22.529598384,2026,4,22,10:00,16,10:16
,,5,2026-04-22 10:27:54.433928925,2026,4,22,10:00,27,10:27
,,4,2026-04-22 10:39:39.156977308,2026,4,22,10:00,39,10:39
,,5,2026-04-22 10:39:58.810665255,2026,4,22,10:00,39,10:39
,,4,2026-04-22 10:42:22.017976206,2026,4,22,10:00,42,10:42
,,5,2026-04-22 10:54:33.586182582,2026,4,22,10:00,54,10:54
,,4,2026-04-22 10:59:04.318612537,2026,4,22,10:00,59,10:59
,,1,2026-04-22 11:07:27.297305336,2026,4,22,11:00,7,11:07
,,1,2026-04-22 11:13:57.716372531,2026,4,22,11:00,13,11:13
,,2,2026-04-22 11:14:00.938839410,2026,4,22,11:00,14,11:14
,,3,2026-04-22 11:14:05.383130685,2026,4,22,11:00,14,11:14
,,4,2026-04-22 11:14:08.542305717,2026,4,22,11:00,14,11:14
,,5,2026-04-22 11:14:16.475952422,2026,4,22,11:00,14,11:14
,,6,2026-04-22 11:38:11.082484871,2026,4,22,11:00,38,11:38
,,7,2026-04-22 11:41:01.217453771,2026,4,22,11:00,41,11:41
,,6,2026-04-22 11:41:09.037826265,2026,4,22,11:00,41,11:41
,,5,2026-04-22 11:42:35.602541966,2026,4,22,11:00,42,11:42
,,6,2026-04-22 11:42:42.644307332,2026,4,22,11:00,42,11:42
,,5,2026-04-22 11:45:49.064577019,2026,4,22,11:00,45,11:45
,,6,2026-04-22 11:46:08.012148420,2026,4,22,11:00,46,11:46
,,5,2026-04-22 11:47:58.492704272,2026,4,22,11:00,47,11:47
,,4,2026-04-22 11:50:55.345597047,2026,4,22,11:00,50,11:50
,,3,2026-04-22 11:52:57.417029679,2026,4,22,11:00,52,11:52
,,2,2026-04-22 11:54:45.865103337,2026,4,22,11:00,54,11:54
,,1,2026-04-22 12:01:05.059087603,2026,4,22,12:00,1,12:01
,,0,2026-04-22 12:02:18.652955860,2026,4,22,12:00,2,12:02
,,0,2026-04-22 12:03:45.505578624,2026,4,22,12:00,3,12:03
,,0,2026-04-22 12:03:48.372623977,2026,4,22,12:00,3,12:03
,,1,2026-04-22 12:04:12.269254429,2026,4,22,12:00,4,12:04
,,0,2026-04-22 12:04:21.415730260,2026,4,22,12:00,4,12:04
,,1,2026-04-22 12:04:26.370603484,2026,4,22,12:00,4,12:04
,,2,2026-04-22 12:04:29.802401384,2026,4,22,12:00,4,12:04
,,3,2026-04-22 12:04:34.738495296,2026,4,22,12:00,4,12:04
,,4,2026-04-22 12:04:47.013721746,2026,4,22,12:00,4,12:04
,,5,2026-04-22 12:05:12.397077964,2026,4,22,12:00,5,12:05
,,4,2026-04-22 12:06:20.572090777,2026,4,22,12:00,6,12:06
,,5,2026-04-22 12:06:39.121639368,2026,4,22,12:00,6,12:06
,,4,2026-04-22 12:07:38.383967429,2026,4,22,12:00,7,12:07
,,3,2026-04-22 12:07:40.373118642,2026,4,22,12:00,7,12:07
,,4,2026-04-22 12:07:51.771659576,2026,4,22,12:00,7,12:07
,,5,2026-04-22 12:07:57.126439585,2026,4,22,12:00,7,12:07
,,4,2026-04-22 12:08:01.643774686,2026,4,22,12:00,8,12:08
,,5,2026-04-22 12:09:32.192499300,2026,4,22,12:00,9,12:09
,,6,2026-04-22 12:09:37.234340942,2026,4,22,12:00,9,12:09
,,5,2026-04-22 12:09:52.759206668,2026,4,22,12:00,9,12:09
,,4,2026-04-22 12:19:48.365963106,2026,4,22,12:00,19,12:19
,,3,2026-04-22 12:25:58.338573458,2026,4,22,12:00,25,12:25
,,4,2026-04-22 12:26:44.324096766,2026,4,22,12:00,26,12:26
,,3,2026-04-22 12:27:18.208299194,2026,4,22,12:00,27,12:27
,,2,2026-04-22 12:27:20.187083895,2026,4,22,12:00,27,12:27
,,3,2026-04-22 12:28:25.432093099,2026,4,22,12:00,28,12:28
,,2,2026-04-22 12:29:17.595802027,2026,4,22,12:00,29,12:29
,,1,2026-04-22 12:29:20.304301413,2026,4,22,12:00,29,12:29
,,0,2026-04-22 12:29:49.766127298,2026,4,22,12:00,29,12:29
,,0,2026-04-22 12:29:51.650122387,2026,4,22,12:00,29,12:29
,,0,2026-04-22 12:30:11.755621890,2026,4,22,12:00,30,12:30
,,0,2026-04-22 12:30:16.524943662,2026,4,22,12:00,30,12:30
,,0,2026-04-22 12:30:21.145720646,2026,4,22,12:00,30,12:30
,,0,2026-04-22 12:30:23.164846097,2026,4,22,12:00,30,12:30
,,0,2026-04-22 12:30:55.460171732,2026,4,22,12:00,30,12:30
,,1,2026-04-22 12:31:09.307549451,2026,4,22,12:00,31,12:31
,,2,2026-04-22 12:31:12.923331413,2026,4,22,12:00,31,12:31
,,3,2026-04-22 12:31:16.320706707,2026,4,22,12:00,31,12:31
,,4,2026-04-22 12:31:19.070886973,2026,4,22,12:00,31,12:31
,,5,2026-04-22 12:31:21.887282464,2026,4,22,12:00,31,12:31
,,4,2026-04-22 12:32:49.522643101,2026,4,22,12:00,32,12:32
,,3,2026-04-22 12:33:08.419714990,2026,4,22,12:00,33,12:33
,,4,2026-04-22 12:34:05.394302414,2026,4,22,12:00,34,12:34
,,3,2026-04-22 12:34:08.103740983,2026,4,22,12:00,34,12:34
,,2,2026-04-22 12:34:15.979668603,2026,4,22,12:00,34,12:34
,,1,2026-04-22 12:34:19.738602044,2026,4,22,12:00,34,12:34
,,0,2026-04-22 12:34:30.410491826,2026,4,22,12:00,34,12:34
,,0,2026-04-22 12:34:37.997099664,2026,4,22,12:00,34,12:34
,,1,2026-04-22 12:34:41.043650150,2026,4,22,12:00,34,12:34
,,2,2026-04-22 12:34:45.250091895,2026,4,22,12:00,34,12:34
,,1,2026-04-22 12:34:50.844258540,2026,4,22,12:00,34,12:34
,,2,2026-04-22 12:34:55.565078086,2026,4,22,12:00,34,12:34
,,1,2026-04-22 12:35:07.267129787,2026,4,22,12:00,35,12:35
,,2,2026-04-22 12:35:09.688194912,2026,4,22,12:00,35,12:35
,,3,2026-04-22 12:35:21.400363677,2026,4,22,12:00,35,12:35
,,4,2026-04-22 12:35:26.982221725,2026,4,22,12:00,35,12:35
,,3,2026-04-22 12:35:53.695394171,2026,4,22,12:00,35,12:35
,,2,2026-04-22 12:35:55.976736165,2026,4,22,12:00,35,12:35
,,1,2026-04-22 12:36:18.159711577,2026,4,22,12:00,36,12:36
,,0,2026-04-22 12:38:38.215038166,2026,4,22,12:00,38,12:38
,,0,2026-04-22 12:38:40.398616701,2026,4,22,12:00,38,12:38
,,0,2026-04-22 12:39:27.612547756,2026,4,22,12:00,39,12:39
